variable,grupo,shap_abs_medio_test,shap_medio_test,proporcion_test,rango_test,shap_abs_medio_val,shap_medio_val,proporcion_val,rango_val,shap_abs_medio_train,proporcion_train,rango_train,ganancia_media_3s,proporcion_ganancia,rango_ganancia,ganancia_s1,splits_s1,rango_splits_s1,dif_rango_ganancia_menos_shap_test
ree_netflow_ma_Dm1,"Generación, demanda y flujos reales D-1/D-6",0.506573,0.432451,0.00422,30,0.400641,0.298599,0.003867,40,0.193734,0.001798,66,685759.033407,0.000181,99,775494.005554,297,74,69
pdbc_pumping_cons_mw_D,Programas PDBC/PBF de D,0.496466,0.277057,0.004136,31,0.4067,0.122715,0.003926,38,0.335867,0.003118,43,1676298.601562,0.000443,76,1781935.35791,293,76,45
pdbc_cogen_mw_D,Programas PDBC/PBF de D,0.491945,-0.102758,0.004099,32,0.468586,-0.36563,0.004523,32,0.579882,0.005383,20,10911168.464355,0.002882,14,11964328.470337,643,15,-18
pdbc_ccgt_mw_D,Programas PDBC/PBF de D,0.485257,-0.38897,0.004043,33,0.481312,-0.273066,0.004646,31,0.51118,0.004745,23,6168160.810527,0.001629,21,8512510.446655,541,29,-12
pbfli_net_flow_fr_mw_D,Programas PDBC/PBF de D,0.474805,0.015109,0.003956,34,0.423714,0.075461,0.00409,34,0.369544,0.00343,37,1629827.203044,0.000431,77,1545000.728027,432,54,43
oil_mw_Dm6,"Generación, demanda y flujos reales D-1/D-6",0.47119,0.402424,0.003926,35,0.584404,0.53578,0.005641,24,0.615666,0.005715,18,9676471.091319,0.002556,16,9146606.058075,549,28,-19
pdbc_biogas_mw_D,Programas PDBC/PBF de D,0.464135,0.421872,0.003867,36,0.205561,0.073487,0.001984,65,0.159072,0.001477,77,3815417.087972,0.001008,31,3692532.742737,428,55,-5
ssrd_meteo,Meteorología prevista,0.452195,-0.097746,0.003767,37,0.441167,-0.062359,0.004258,33,0.39377,0.003655,34,2186654.273621,0.000578,64,2480826.336609,126,101,27
capdisp_hydro_mw,Capacidades (disponible e instalada),0.445556,-0.407602,0.003712,38,0.384891,-0.256968,0.003715,43,0.407607,0.003784,32,9129934.189697,0.002412,17,8830334.298035,625,18,-21
oil_mw_Dm1,"Generación, demanda y flujos reales D-1/D-6",0.434787,0.420031,0.003622,39,0.374086,0.319777,0.003611,46,0.17555,0.00163,71,2184082.27828,0.000577,65,1985044.885559,360,62,26
waste_mw_Dm6,"Generación, demanda y flujos reales D-1/D-6",0.4216,-0.287842,0.003512,40,0.408275,-0.232716,0.003941,37,0.178257,0.001655,70,2086561.057414,0.000551,68,2011774.246033,535,32,28
hydro_run_river_mw_Dm6,"Generación, demanda y flujos reales D-1/D-6",0.418514,-0.196149,0.003487,41,0.398412,-0.186114,0.003846,41,0.3189,0.00296,45,2494677.666443,0.000659,53,2425908.246521,464,45,12
pdbc_nuclear_mw_D,Programas PDBC/PBF de D,0.413679,0.198029,0.003446,42,0.381806,0.093011,0.003685,44,0.19066,0.00177,69,2918046.164225,0.000771,46,2636722.464539,598,21,4
ree_gotherthermal_mw_Dm6,"Generación, demanda y flujos reales D-1/D-6",0.407553,0.105411,0.003395,43,0.337082,0.021899,0.003254,51,0.381753,0.003544,36,10021941.55304,0.002647,15,9657119.494019,565,26,-28
ree_netflow_fr_Dm6,"Generación, demanda y flujos reales D-1/D-6",0.393295,0.011007,0.003277,44,0.39193,0.030675,0.003783,42,0.394786,0.003665,33,1862683.849182,0.000492,75,1881284.979797,450,49,31
pbfli_net_flow_pt_mw_D,Programas PDBC/PBF de D,0.368844,0.105488,0.003073,45,0.380176,0.130634,0.00367,45,0.279456,0.002594,50,1334386.32546,0.000352,80,1293281.159912,342,65,35
ree_gnuclear_mw_Dm1,"Generación, demanda y flujos reales D-1/D-6",0.367103,0.012714,0.003058,46,0.326655,0.080631,0.003153,53,0.34597,0.003212,41,3754971.26533,0.000992,33,3487509.768311,569,25,-13
