corte,bloque,grupo,metrica,valor
val,spread_pico,Q4_cambio,MAE_persistencia,37.3128
val,spread_pico,Q4_cambio,dias_ensemble_peor_%,0.0000
val,spread_pico,top10_cambio,n_dias,37.0000
val,spread_pico,top10_cambio,captura_ensemble_%,85.9880
val,spread_pico,top10_cambio,captura_persistencia_%,73.7566
val,spread_pico,top10_cambio,pico1h_ensemble_%,72.9730
val,spread_pico,top10_cambio,pico1h_persistencia_%,59.4595
val,spread_pico,top10_cambio,MAE_ensemble,16.9995
val,spread_pico,top10_cambio,MAE_persistencia,45.9873
val,spread_pico,top10_cambio,dias_ensemble_peor_%,0.0000
test,copia,realidad,forma_vs_D,0.8578
test,copia,realidad,movimiento_%,100.0000
test,copia,realidad,corr_cambio,1.0000
test,copia,realidad,pendiente_cambio,1.0000
test,copia,realidad,MAE,0.0000
test,copia,ensemble_seleccion,forma_vs_D,0.9381
test,copia,ensemble_seleccion,movimiento_%,82.5521
test,copia,ensemble_seleccion,corr_cambio,0.7889
test,copia,ensemble_seleccion,pendiente_cambio,0.5853
test,copia,ensemble_seleccion,MAE,11.7237
test,copia,persistencia,forma_vs_D,1.0000
test,copia,persistencia,movimiento_%,0.0000
test,copia,persistencia,corr_cambio,
test,copia,persistencia,pendiente_cambio,0.0000
test,copia,persistencia,MAE,16.7213
test,copia,lgbm_nucleo__s1,forma_vs_D,0.8858
test,copia,lgbm_nucleo__s1,movimiento_%,110.7552
test,copia,lgbm_nucleo__s1,corr_cambio,0.7230
test,copia,lgbm_nucleo__s1,pendiente_cambio,0.7083
test,copia,lgbm_nucleo__s1,MAE,14.1643
test,copia,lgbm_nucleo__s1,peso,0.3667
test,copia,denso__s2,forma_vs_D,0.9563
test,copia,denso__s2,movimiento_%,75.7926
test,copia,denso__s2,corr_cambio,0.7247
test,copia,denso__s2,pendiente_cambio,0.4984
test,copia,denso__s2,MAE,13.4659
test,copia,denso__s2,peso,0.3333
test,copia,lstm__s1,forma_vs_D,0.9187
test,copia,lstm__s1,movimiento_%,99.6322
test,copia,lstm__s1,corr_cambio,0.7010
test,copia,lstm__s1,pendiente_cambio,0.5588
test,copia,lstm__s1,MAE,15.7777
test,copia,lstm__s1,peso,0.1000
test,copia,seq2seq_absoluto__s2,forma_vs_D,0.9006
test,copia,seq2seq_absoluto__s2,movimiento_%,102.4199
test,copia,seq2seq_absoluto__s2,corr_cambio,0.6776
test,copia,seq2seq_absoluto__s2,pendiente_cambio,0.5779
test,copia,seq2seq_absoluto__s2,MAE,15.2755
test,copia,seq2seq_absoluto__s2,peso,0.1000
test,copia,gru__s2,forma_vs_D,0.9428
test,copia,gru__s2,movimiento_%,73.2881
test,copia,gru__s2,corr_cambio,0.7108
test,copia,gru__s2,pendiente_cambio,0.4730
test,copia,gru__s2,MAE,12.8856
test,copia,gru__s2,peso,0.0667
test,copia,seq2seq__s1,forma_vs_D,0.9488
test,copia,seq2seq__s1,movimiento_%,70.4060
test,copia,seq2seq__s1,corr_cambio,0.6840
test,copia,seq2seq__s1,pendiente_cambio,0.4291
test,copia,seq2seq__s1,MAE,13.2768
test,copia,seq2seq__s1,peso,0.0333
test,cuartil_cambio,Q1,n_dias,53.0000
test,cuartil_cambio,Q1,cambio_min,1.3908
test,cuartil_cambio,Q1,cambio_max,9.6884
test,cuartil_cambio,Q1,cambio_medio,6.3748
test,cuartil_cambio,Q1,MAE_ensemble,8.3029
test,cuartil_cambio,Q1,MAE_persistencia,6.3748
test,cuartil_cambio,Q1,mejora_vs_persistencia_%,30.2462
test,cuartil_cambio,Q1,dias_ensemble_peor_%,77.3585
test,cuartil_cambio,Q1,captura_ensemble_%,94.9797
test,cuartil_cambio,Q1,captura_persistencia_%,92.1870
test,cuartil_cambio,Q1,pico1h_ensemble_%,79.2453
test,cuartil_cambio,Q1,pico1h_persistencia_%,75.4717
test,cuartil_cambio,Q2,n_dias,53.0000
test,cuartil_cambio,Q2,cambio_min,9.6884
test,cuartil_cambio,Q2,cambio_max,15.0752
test,cuartil_cambio,Q2,cambio_medio,12.0950
test,cuartil_cambio,Q2,MAE_ensemble,10.0525
test,cuartil_cambio,Q2,MAE_persistencia,12.0950
test,cuartil_cambio,Q2,mejora_vs_persistencia_%,-16.8870
test,cuartil_cambio,Q2,dias_ensemble_peor_%,32.0755
test,cuartil_cambio,Q2,captura_ensemble_%,95.4442
test,cuartil_cambio,Q2,captura_persistencia_%,89.3448
test,cuartil_cambio,Q2,pico1h_ensemble_%,83.0189
test,cuartil_cambio,Q2,pico1h_persistencia_%,73.5849
test,cuartil_cambio,Q3,n_dias,53.0000
test,cuartil_cambio,Q3,cambio_min,15.0752
test,cuartil_cambio,Q3,cambio_max,22.2409
test,cuartil_cambio,Q3,cambio_medio,18.3269
test,cuartil_cambio,Q3,MAE_ensemble,12.2285
test,cuartil_cambio,Q3,MAE_persistencia,18.3269
test,cuartil_cambio,Q3,mejora_vs_persistencia_%,-33.2758
test,cuartil_cambio,Q3,dias_ensemble_peor_%,7.5472
test,cuartil_cambio,Q3,captura_ensemble_%,90.3987
test,cuartil_cambio,Q3,captura_persistencia_%,81.1852
test,cuartil_cambio,Q3,pico1h_ensemble_%,67.9245
test,cuartil_cambio,Q3,pico1h_persistencia_%,58.4906
test,cuartil_cambio,Q4,n_dias,53.0000
test,cuartil_cambio,Q4,cambio_min,22.2409
test,cuartil_cambio,Q4,cambio_max,52.9537
test,cuartil_cambio,Q4,cambio_medio,30.0886
test,cuartil_cambio,Q4,MAE_ensemble,16.3107
test,cuartil_cambio,Q4,MAE_persistencia,30.0886
test,cuartil_cambio,Q4,mejora_vs_persistencia_%,-45.7911
test,cuartil_cambio,Q4,dias_ensemble_peor_%,5.6604
test,cuartil_cambio,Q4,captura_ensemble_%,89.4630
test,cuartil_cambio,Q4,captura_persistencia_%,81.8592
test,cuartil_cambio,Q4,pico1h_ensemble_%,75.4717
test,cuartil_cambio,Q4,pico1h_persistencia_%,62.2642
test,dia_semana_D+1,lunes,n_dias,30.0000
test,dia_semana_D+1,lunes,MAE_ensemble,13.5662
test,dia_semana_D+1,lunes,MAE_persistencia,22.8648
test,dia_semana_D+1,lunes,mejora_vs_persistencia_%,-40.6679
test,dia_semana_D+1,lunes,cambio_medio,22.8648
test,dia_semana_D+1,martes,n_dias,30.0000
test,dia_semana_D+1,martes,MAE_ensemble,12.8387
test,dia_semana_D+1,martes,MAE_persistencia,17.4317
test,dia_semana_D+1,martes,mejora_vs_persistencia_%,-26.3483
test,dia_semana_D+1,martes,cambio_medio,17.4317
test,dia_semana_D+1,miércoles,n_dias,30.0000
test,dia_semana_D+1,miércoles,MAE_ensemble,13.7023
test,dia_semana_D+1,miércoles,MAE_persistencia,18.1468
test,dia_semana_D+1,miércoles,mejora_vs_persistencia_%,-24.4916
