,0
pt_entsoe_D,46.63025849044392
ree_grenov_prev,-15.52146277063736
ree_demanda_prev,14.686973368344404
pbfli_total_demand_mw_D,-11.056678877635735
pdbc_wind_mw_D,9.51965131997058
es_esios_Dm6,8.580512415627979
co2_eua_dec,8.396788461418561
gas_mibgas,7.889949719658313
ree_gwind_prev,-5.925433027412028
bil_generic_sales_mw_D,5.113335649410954
bil_generic_buy_mw_D,3.895153548361692
capinst_total_autoconsume_mw,3.690004574020228
d1_regimen_tope_gas,-3.6231698519605726
capdisp_coal_antracita_mw,3.180403788127942
hora_cos,-2.8730843966324344
hydro_run_river_mw_Dm1,-2.8191880070303736
pdbc_unavailable_power_mw_D,2.8172267990414204
pdbc_pumping_cons_mw_D,-2.4331550965927287
pdbc_coal_mw_D,-2.335766562262057
ssrd_meteo,-2.2378138177073272
gen_peninsular_mw_Dm6,1.7196462184861023
hydro_dispatch_mw_Dm6,-1.5587443824063876
ree_gccgas_mw_Dm6,-1.5444969399200532
d1_dow,-1.4808693994180724
bil_direct_consumer_mw_D,1.3764971004776294
bil_retail_last_resort_mw_D,1.323457388816931
d1_dow_sin,-1.2933542586415396
meteo_es_forecast,-1.2378177681519404
waste_mw_Dm1,1.1864049345585468
hora,-1.1837940311215396
tp_acum_30d_met_Dm1,1.165775094025461
pdbc_pumping_gen_mw_D,-1.158876984518759
pdbc_hydro_ugh_mw_D,-1.1530657724614306
capdisp_hydro_mw,1.0761961312299293
hora_sin,-0.9828133807126541
other_renewable_mw_Dm6,0.9029134832492502
pdbc_waste_mw_D,-0.8829278066825692
other_renewable_mw_Dm1,0.8307897790440882
bil_retail_free_buy_mw_D,-0.8254534517844161
ree_gcoal_mw_Dm6,-0.7442513710115272
hydro_dispatch_mw_Dm1,-0.7173450336367626
d1_is_festivo,-0.6735403253145209
d1_month,-0.5916578437400729
d1_is_weekend,-0.5831654838456898
waste_mw_Dm6,-0.4889530018570939
spread_es_de_D,-0.48203777423738
wind100_meteo,-0.47544299174755233
biomass_mw_Dm6,0.4634610851839297
ree_gccgas_mw_Dm1,0.396253407123001
biomass_mw_Dm1,-0.367227085880507
pbfli_net_flow_ad_mw_D,-0.3554292069751533
fr_entsoe_D,-0.3464684538815266
pdbc_other_renew_mw_D,-0.31441340411993224
pdbc_nuclear_mw_D,0.30507206662582964
pdbc_ccgt_mw_D,0.3029461056569915
pdbc_biogas_mw_D,0.2826873370633997
total_net_flow_mw_Dm6,-0.2640376076099633
pl_entsoe_D,-0.25652693715656927
total_net_flow_mw_Dm1,0.22298107073338208
pumping_cons_mw_Dm1,-0.21287059490060944
ree_gcoal_mw_Dm1,0.17324050951402636
msl_meteo,0.10092094627228375
tcc_mean_met_Dm2,-0.09957541453607312
gen_peninsular_mw_Dm1,0.08745795711465057
pumping_cons_mw_Dm6,-0.06867006142501346
d1_doy_sin,-0.02826710625193231
