unidades,dropout,lr,MAE_val
96,0.25,0.001,13.67
48,0.25,0.001,13.83
96,0.25,0.0003,14.42
96,0.4,0.001,14.5
48,0.4,0.001,14.52
48,0.25,0.0003,14.83
96,0.4,0.0003,15.19
48,0.4,0.0003,15.26
