variable,nulos_antes,cero_convencion,cero_sin_serie,cero_no_existia,ffill,interpolado,analogo_7d,hora_saltada_lag,sin_reconstruir,cero_hora_inexistente,via_principal,celdas,bloque
pdbc_waste_mw_D,8,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0,0.0,analogo_7d,8.0,programas de casación
pdbc_hydro_ugh_mw_D,8,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0,0.0,analogo_7d,8.0,programas de casación
pdbc_solar_thermal_mw_D,8,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0,0.0,analogo_7d,8.0,programas de casación
pdbc_solar_pv_mw_D,8,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0,0.0,analogo_7d,8.0,programas de casación
pdbc_hydro_no_ugh_mw_D,8,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0,0.0,analogo_7d,8.0,programas de casación
hydro_dispatch_mw_Dm6,8,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0,0.0,hora_saltada_lag,7.0,generación: reconstruida entre fuentes
wind_mw_Dm1,8,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0,0.0,analogo_7d,8.0,estado real de días anteriores
hydro_run_river_mw_Dm6,8,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0,0.0,hora_saltada_lag,7.0,estado real de días anteriores
biomass_mw_Dm6,8,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0,0.0,hora_saltada_lag,7.0,estado real de días anteriores
oil_mw_Dm1,8,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0,0.0,analogo_7d,8.0,estado real de días anteriores
other_renewable_mw_Dm1,8,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0,0.0,analogo_7d,8.0,estado real de días anteriores
solar_fv_mw_Dm1,8,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0,0.0,analogo_7d,8.0,generación: reconstruida entre fuentes
hydro_dispatch_mw_Dm1,8,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0,0.0,analogo_7d,8.0,generación: reconstruida entre fuentes
pl_entsoe_D,8,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0,0.0,analogo_7d,8.0,precio: mercados vecinos
cz_entsoe_D,8,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0,0.0,analogo_7d,8.0,precio: mercados vecinos
spread_es_fr_D,8,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0,0.0,analogo_7d,8.0,precio: diferencial entre zonas
spread_es_pt_D,8,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0,0.0,analogo_7d,8.0,precio: diferencial entre zonas
bil_retail_free_sales_mw_D,8,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,cero_convencion,8.0,programas de casación
pbfli_total_demand_mw_D,8,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0,0.0,analogo_7d,8.0,programas de casación
