fecha_hora,hora,p10,p50,p90,origen
2027-01-01 00:00:00,0,18.81,95.92,181.05,fundamental
2027-01-01 01:00:00,1,6.87,85.72,173.26,fundamental
2027-01-01 02:00:00,2,11.64,78.08,143.86,fundamental
2027-01-01 03:00:00,3,8.41,76.34,144.43,fundamental
2027-01-01 04:00:00,4,10.08,79.64,137.44,fundamental
2027-01-01 05:00:00,5,11.85,83.39,154.26,fundamental
2027-01-01 06:00:00,6,16.77,110.16,199.36,fundamental
2027-01-01 07:00:00,7,23.35,135.45,225.84,fundamental
2027-01-01 08:00:00,8,19.30,136.43,224.66,fundamental
2027-01-01 09:00:00,9,14.94,131.85,198.55,fundamental
2027-01-01 10:00:00,10,12.83,102.24,171.35,fundamental
2027-01-01 11:00:00,11,10.75,78.66,143.66,fundamental
2027-01-01 12:00:00,12,6.03,62.35,120.21,fundamental
2027-01-01 13:00:00,13,4.61,55.40,108.72,fundamental
2027-01-01 14:00:00,14,7.55,59.40,122.00,fundamental
2027-01-01 15:00:00,15,10.98,75.72,149.67,fundamental
2027-01-01 16:00:00,16,12.56,95.99,193.23,fundamental
2027-01-01 17:00:00,17,21.17,122.30,228.52,fundamental
2027-01-01 18:00:00,18,21.21,137.69,252.14,fundamental
2027-01-01 19:00:00,19,22.83,140.57,269.80,fundamental
2027-01-01 20:00:00,20,23.21,140.13,258.47,fundamental
2027-01-01 21:00:00,21,32.38,139.59,277.33,fundamental
2027-01-01 22:00:00,22,35.69,133.03,253.08,fundamental
2027-01-01 23:00:00,23,21.94,118.47,201.63,fundamental
2027-01-02 00:00:00,0,18.29,107.22,184.21,fundamental
2027-01-02 01:00:00,1,12.50,94.54,170.98,fundamental
2027-01-02 02:00:00,2,14.07,88.86,150.23,fundamental
2027-01-02 03:00:00,3,17.75,78.60,142.26,fundamental
2027-01-02 04:00:00,4,19.19,78.16,140.27,fundamental
2027-01-02 05:00:00,5,18.48,82.78,143.52,fundamental
2027-01-02 06:00:00,6,24.22,89.96,160.94,fundamental
2027-01-02 07:00:00,7,23.67,90.58,165.46,fundamental
2027-01-02 08:00:00,8,18.74,93.32,167.81,fundamental
2027-01-02 09:00:00,9,14.61,87.45,158.69,fundamental
2027-01-02 10:00:00,10,10.22,73.76,129.03,fundamental
2027-01-02 11:00:00,11,6.61,54.95,95.03,fundamental
2027-01-02 12:00:00,12,4.39,41.03,76.72,fundamental
2027-01-02 13:00:00,13,3.58,38.99,77.44,fundamental
2027-01-02 14:00:00,14,5.30,47.88,86.55,fundamental
2027-01-02 15:00:00,15,5.80,53.99,105.02,fundamental
2027-01-02 16:00:00,16,11.50,73.96,164.88,fundamental
2027-01-02 17:00:00,17,16.91,98.43,195.00,fundamental
2027-01-02 18:00:00,18,33.76,120.06,224.69,fundamental
2027-01-02 19:00:00,19,28.10,126.33,233.50,fundamental
2027-01-02 20:00:00,20,22.17,125.47,225.48,fundamental
2027-01-02 21:00:00,21,17.82,125.05,207.00,fundamental
2027-01-02 22:00:00,22,19.69,110.37,195.41,fundamental
2027-01-02 23:00:00,23,22.10,91.27,173.92,fundamental
2027-01-03 00:00:00,0,26.72,97.27,193.40,fundamental
2027-01-03 01:00:00,1,19.83,87.85,159.80,fundamental
2027-01-03 02:00:00,2,11.57,74.66,143.90,fundamental
2027-01-03 03:00:00,3,11.89,79.29,140.25,fundamental
2027-01-03 04:00:00,4,11.25,72.78,142.22,fundamental
2027-01-03 05:00:00,5,12.98,74.04,145.84,fundamental
2027-01-03 06:00:00,6,15.10,79.37,163.63,fundamental
2027-01-03 07:00:00,7,21.01,84.46,180.95,fundamental
2027-01-03 08:00:00,8,25.26,90.74,161.45,fundamental
2027-01-03 09:00:00,9,34.00,89.57,163.05,fundamental
2027-01-03 10:00:00,10,17.44,77.49,133.77,fundamental
2027-01-03 11:00:00,11,9.37,59.48,104.08,fundamental
2027-01-03 12:00:00,12,4.87,45.60,88.49,fundamental
2027-01-03 13:00:00,13,4.58,45.15,86.58,fundamental
2027-01-03 14:00:00,14,6.02,50.74,100.06,fundamental
2027-01-03 15:00:00,15,8.26,58.60,110.75,fundamental
2027-01-03 16:00:00,16,9.18,74.24,145.55,fundamental
2027-01-03 17:00:00,17,17.25,106.13,195.69,fundamental
