a,p10,p50,p90,media,h_cero_%,solar_GW,spread
2026,18.13,74.81,128.18,74.32,7.56,61.62,107.3
2027,14.54,66.06,115.72,65.93,13.2,65.22,114.95
2028,15.05,64.72,111.97,64.32,14.41,68.81,114.54
2029,13.58,63.68,110.01,62.99,15.74,72.41,112.24
2030,12.86,60.56,106.25,60.36,16.95,76.0,110.76
2031,13.41,60.8,104.53,60.15,18.01,79.8,109.93
2032,12.22,57.06,100.83,57.1,19.02,83.6,107.77
2033,12.58,57.68,98.72,56.88,19.62,87.4,106.96
2034,12.09,55.14,96.3,54.88,20.4,91.2,105.12
2035,13.33,56.33,95.02,55.53,21.3,95.0,105.65
2036,12.72,54.95,93.68,54.26,21.91,98.0,105.64
2037,12.62,55.05,93.43,54.22,22.39,101.0,105.2
2038,12.72,54.42,92.29,53.67,22.94,104.0,104.46
2039,12.11,53.53,91.54,52.9,23.45,107.0,104.23
2040,11.63,51.68,89.74,51.45,24.13,110.0,101.13
2041,12.71,53.53,89.8,52.59,24.19,112.5,102.86
2042,13.35,54.66,90.33,53.42,24.76,115.0,103.03
2043,13.12,53.42,89.22,52.5,25.07,117.5,102.79
2044,11.23,51.19,87.79,50.53,25.39,120.0,100.15
2045,12.66,52.19,87.75,51.4,25.72,122.5,101.51
2046,12.9,51.28,86.76,50.85,26.19,125.0,99.2
