algoritmo,semilla,MAE_val,MAE_test,captura_val_%,captura_test_%
XGBoost,42,13.321869543083263,13.787356866011162,94.42584465582625,94.31541675261244
XGBoost,43,13.363366599844476,14.03794106392759,94.41670739972608,94.51654837495818
XGBoost,44,13.043473418622572,13.5610321322343,94.55314248020348,94.65489628416698
LightGBM,42,13.175143581945925,13.435930428826339,94.56286518276966,94.81720545502569
LightGBM,43,13.072520288940126,13.297632407653566,94.51584249044063,95.44029882412462
LightGBM,44,13.215753364084895,12.954866681472069,94.58073764752783,94.90608804627024
