alpha,MAE_val
500.0,15.073401577908278
200.0,15.078232837936259
100.0,15.090297927016563
50.0,15.098889184119287
10.0,15.10730741784509
5.0,15.108430694503065
1.0,15.109336548325954
0.1,15.109542456122051
0.01,15.109563053810605
0.001,15.109565113648578
