,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,amplitud
es_esios_Dm1,0.8473040891104432,0.8287780716022614,0.8174861330541536,0.804849413021437,0.7988982320738592,0.7996085046607507,0.8080818767411492,0.7728871156358981,0.759272190997747,0.7709402978751744,0.7481294482880135,0.7436889168103569,0.743602492382784,0.7521470454975999,0.7430656134791322,0.7281830736848889,0.7477932980743558,0.7848305935254956,0.8203249567742531,0.8402034056677322,0.8593873442618418,0.8640362521000512,0.8865185885097249,0.8808873333203178,0.158335514824836
es_esios_Dm6,0.7893204999037937,0.7623272692900885,0.7431834884517635,0.7245472435347029,0.7131279887143416,0.7220945909776747,0.7619646894026681,0.7948720286273792,0.8155092766548739,0.8099289230398999,0.7868307715219929,0.7776865534495958,0.7757080492309429,0.7770875821036989,0.7632040640032933,0.7538744615096006,0.7692978512971319,0.7896087755127805,0.8071158914433257,0.8195184808344568,0.8358721034311671,0.8352204796491426,0.8406867385335901,0.8238323544039213,0.12755874981924853
gas_mibgas,0.7540871096218319,0.7269228390609269,0.7144121080300644,0.6979489440752467,0.6917416172171973,0.700253941936771,0.7293933473885661,0.7570289215248287,0.7552918421244866,0.7201447063294224,0.6590462387692779,0.6160426929761103,0.5966648912625504,0.5877703542239004,0.5719493851319659,0.5665410531706639,0.5949679025677871,0.6414178149898364,0.7033867291609849,0.7729786645854624,0.8177891656371551,0.8247233322273517,0.8105032212804856,0.7854100457188533,0.2581822790566878
gas_ttf_m1,0.7410385636576278,0.7127205764495487,0.6997817194525744,0.6836236975362995,0.6770541214113442,0.6864429217172107,0.7184316149634228,0.7508727614925272,0.7509883096936404,0.7134174656462644,0.6504739963978178,0.6074245517765883,0.5880940095051416,0.57884048094247,0.5621018357962785,0.5562185887838387,0.5843443217520781,0.6306392271494745,0.6924168469833635,0.7624066816071976,0.8113299967274381,0.8159720559257048,0.7983441809427367,0.7718470764178771,0.2597534671418661
ree_gccgas_mw_Dm1,0.5078527038640354,0.5048128151200683,0.49226132564842073,0.4864232118737724,0.47975683267500796,0.4772045390218517,0.4537220962575269,0.38993356858764583,0.3495894611196281,0.3619787398965069,0.3576585741802499,0.3604893751302421,0.37955525168545207,0.389281015438971,0.39275185664815426,0.3854742154726158,0.4056869319517233,0.4390412837772557,0.44596393753236463,0.4275598052851354,0.42122734269039375,0.43607439380821983,0.4753643350742443,0.4926309306070922,0.15826324274440728
co2_eua_dec,0.5571360878353457,0.5327704043800254,0.5216397149337034,0.5090506673655306,0.5011274737320003,0.5119615975835425,0.5401133598989238,0.5603583627586605,0.5430828354368016,0.4753344123218803,0.3908778383625121,0.33975878615709953,0.3193163159802148,0.305825921767456,0.29170139654601457,0.2965387789384988,0.33135521263517254,0.3869217429256014,0.45151262143150767,0.5302020938441154,0.5935950709755407,0.6147446477537764,0.6085367396385013,0.5886101246854555,0.3230432512077618
ree_gccgas_mw_Dm6,0.42322325249444637,0.4088435161673383,0.392538283770422,0.3783508123354371,0.369239780848462,0.37539895605072854,0.3888190240505226,0.3990296561697186,0.3986575199712394,0.39508686598162457,0.3846933704642367,0.3765909431528875,0.38726238607534924,0.3936428736734902,0.39851690550941804,0.40406064034237893,0.4252600002569874,0.44903944363599557,0.44483594474814137,0.4174519800264938,0.4138939383556208,0.42004300557914415,0.4219153379280225,0.4144203666752192,0.07979966278753359
ree_gcoal_mw_Dm6,0.3569314244423439,0.35878245252840574,0.3483949885310333,0.34340431080086653,0.342895114214247,0.3463731097264175,0.35183098101527965,0.3504449359944053,0.3900502739388974,0.45934322945611467,0.5105061802290113,0.536273304565898,0.5408446285697672,0.5489619164021091,0.5450125952952236,0.5313608104716008,0.5047884789551316,0.4630000842480557,0.43020489232744097,0.38611487912808556,0.3541585660686413,0.3283386796651614,0.3312142222649845,0.34885820649985627,0.22062323673694773
ree_gcoal_mw_Dm1,0.39020404663900315,0.3929571824989433,0.3843726219580584,0.37983868798596643,0.37949110512051937,0.3799051965468686,0.3729034196783438,0.3403497140113248,0.35777199530435366,0.4250700824044302,0.47286301136543246,0.49439552248220925,0.49648683785465575,0.5076465458009832,0.5038078498193455,0.4894605854363855,0.4674796666100216,0.43947139629571363,0.4225285248006894,0.3897406708395461,0.3605339720595037,0.34375615398166914,0.3605574838026816,0.38483166597932444,0.16729683178965843
hydro_run_river_mw_Dm1,-0.5144146445795815,-0.5109207109197014,-0.50400929146307,-0.5014538154653675,-0.49580421844185185,-0.49301613455515086,-0.49817470622367716,-0.48345730511755,-0.475201913630492,-0.4482147401964693,-0.3741786421625754,-0.3259808073398248,-0.3128880105648053,-0.3034796992869185,-0.29062457334615266,-0.2777427852880236,-0.2604909850935402,-0.24633266397774992,-0.2667974251847437,-0.3415694278146159,-0.43490941725530524,-0.488080771401482,-0.5045348900855001,-0.5100266006497661,0.26808198060183164
hydro_run_river_mw_Dm6,-0.4932291770997732,-0.48666421713593294,-0.4772873551739591,-0.47059722024607487,-0.4639966502404746,-0.4623698033651306,-0.46988730525593875,-0.45004840094854265,-0.43971400498319374,-0.41181671491487665,-0.3399858527462696,-0.2933862256699664,-0.28210157637199795,-0.27446044850711165,-0.26180587361667507,-0.24976737187226247,-0.23928341877466544,-0.23625720618175935,-0.26741193191150875,-0.3476476692087975,-0.43659097430968496,-0.48131344466573367,-0.49055774061796203,-0.49436703242328506,0.2581098262415257
biomass_mw_Dm1,0.35032768541314446,0.35110261830082307,0.33763989462069927,0.330765987270561,0.3346876552334423,0.33095316059159025,0.3216470767610096,0.2947116645598204,0.26639918466179363,0.2953548187713738,0.3327840428463468,0.3548212452226501,0.3793451710218673,0.3824542604713378,0.3842103732461371,0.3703229903619442,0.3499851525285018,0.33090201231233496,0.2961986377999658,0.2645724202740541,0.2558794503679396,0.2876148611019272,0.3307582144201987,0.33790395252433597,0.12833092287819753
pumping_cons_mw_Dm6,-0.21331694303443122,-0.19996974487452873,-0.17977401665736933,-0.18641399080596519,-0.18939052719501615,-0.1774809768216721,-0.16826396296841006,-0.23692246286695015,-0.2937329865683741,-0.3086428912453857,-0.3463739686550161,-0.3683307568943833,-0.3835320396069082,-0.3922382534707308,-0.3982613125255993,-0.39902145778709536,-0.4031607132418638,-0.3999702351480066,-0.36687968655345865,-0.2555494738292066,-0.19651737005823247,-0.17741264330855772,-0.1684726814498336,-0.17750975532864405,0.23489675027345375
ree_grenov_prev,-0.2764404508227236,-0.30817451875211155,-0.32930569256143266,-0.35246505838127856,-0.36525970891449333,-0.3523207086015181,-0.3120679174459311,-0.2650275056215798,-0.26760360036958136,-0.2884780133757699,-0.3368447704437622,-0.38465675573461333,-0.40948462226517107,-0.42452108415180706,-0.4404741275403504,-0.43995796184006136,-0.4367315554658414,-0.43522460718500444,-0.40515131535370147,-0.3177832414318753,-0.22471447212277998,-0.20593873129639162,-0.21158650615189856,-0.23836378457236837,0.2345353962439588
biomass_mw_Dm6,0.33414500647536827,0.33002564187186023,0.31364248624716756,0.30407254448818355,0.3076066614969549,0.30451397668694047,0.29793765849971726,0.27799410590719487,0.2586510825443632,0.2931532206452647,0.3274587578988127,0.35017079454392674,0.365221792524186,0.3731374625749589,0.3686791661620946,0.3577524578110349,0.34156206623045554,0.31919143731155664,0.28947362100203516,0.2610569028995579,0.2577108294280274,0.29157209049858457,0.32412207870684745,0.32506112767501383,0.11542663314693147
pumping_cons_mw_Dm1,-0.24469705473085068,-0.23295331633847127,-0.2149080071042865,-0.22343552961865165,-0.22608857405384458,-0.20566235607854289,-0.147366571495406,-0.1119647790573761,-0.10584936243827262,-0.15777453541441083,-0.22303563728640005,-0.26347571458780816,-0.2886223481377443,-0.31419884032136497,-0.33193430887366604,-0.3300737617026955,-0.3387608784789976,-0.3520829278115484,-0.3450699412619666,-0.27509552019255035,-0.23729028810495584,-0.19383920492561907,-0.1988894756996734,-0.22888782021397,0.24623356537327576
waste_mw_Dm1,0.2154134656595027,0.2294689289095743,0.23230776314741305,0.23920331818649243,0.24575898396534968,0.24112127055119492,0.22949934734811112,0.18367320246279473,0.20243897371035405,0.29299169695494764,0.3675347700736149,0.4075383445838568,0.42385779953773023,0.436144180581309,0.435805884598471,0.41314722259158165,0.3721024355239104,0.3241009950537545,0.2651616374801611,0.19120984972430655,0.1434089725617396,0.12300745528174807,0.16360388987533545,0.20267290618682463,0.31313672529956094
waste_mw_Dm6,0.19895179154424056,0.21044992823489345,0.2151719647800411,0.22202567818320298,0.2252953672427173,0.2234452375093632,0.21401022282182375,0.17070055818389188,0.18828923436822595,0.27863698717677166,0.34814585811989723,0.38584775631962315,0.40039438711909997,0.4115472730713601,0.4096664352910683,0.387264594627868,0.3496960473997788,0.301460783110239,0.2467253195269909,0.1803935266337336,0.1297185477298344,0.11179047982030568,0.14798389460096026,0.1866729075048905,0.2997567932510544
wind100_meteo,-0.30357643858209,-0.3216366247501066,-0.33190523575073105,-0.34984048929239947,-0.3613823639344052,-0.35271732140553025,-0.322853832577571,-0.2777645356254791,-0.22978210206859753,-0.19410445548887592,-0.1863963071684057,-0.19323789214089446,-0.19990096905384208,-0.20797326356828744,-0.21594167086493543,-0.23168857641322327,-0.237702262655122,-0.234868807802334,-0.23993949923955465,-0.23936586675222232,-0.2403766012883505,-0.2534303247087972,-0.2531298888524342,-0.271170017861321,0.17498605676599951
ree_demanda_prev,0.20303558490596965,0.2379000706341867,0.24752804914394802,0.2506895640702119,0.24990235913924144,0.2371455321291271,0.2225917077947392,0.2559079742143488,0.2829210813101447,0.2936686536009683,0.34417249781278136,0.38110026051504614,0.39606033592850226,0.39935166947706313,0.4179599391920415,0.4288830187652236,0.4142252995368058,0.3746267473476261,0.3500895016634023,0.2862860829741868,0.21552497292550649,0.1359965015409016,0.12195030111099131,0.13976944601080526,0.3069327176542323
