,2020,2021,2022,2023,2024,2025,rango
es_esios_Dm1,0.6428847747623341,0.8793035631655182,0.7225778606554815,0.5945098575085005,0.6928459876895249,0.7023165697242311,0.28479370565701767
es_esios_Dm6,0.7144709947556732,0.8779203682892113,0.6949763885939847,0.5442904552644985,0.6630357329666555,0.6588791574132717,0.3336299130247128
gas_mibgas,0.5426993307539323,0.9002792274392802,0.10592852181681306,0.1328059139562086,0.5476774436486561,0.13054226146624898,0.7943507056224672
gas_ttf_m1,0.4892459424788308,0.8968732317916175,-0.24547932679225246,0.08118190163198434,0.5470029343805657,0.09908757659458166,1.1423525585838699
ree_gccgas_mw_Dm1,0.3811800935816517,0.5894020513113166,-0.04381284576201819,0.48363551559008916,0.5982593703208484,0.45856137369767197,0.6420722160828666
co2_eua_dec,0.5630041067404292,0.8498797008466157,0.1328238158577985,0.2590857858698004,0.1902820053995726,0.28396857110685647,0.7170558849888171
ree_gccgas_mw_Dm6,0.48639052652418746,0.6337635831788186,-0.10186689893371105,0.4644629717656371,0.540975825670758,0.400319598949935,0.7356304821125297
ree_gcoal_mw_Dm6,0.09718541688427985,0.6017259010589062,0.10941294861617216,0.2667374444720972,0.16715906706655154,0.044409102690865905,0.5573167983680403
ree_gcoal_mw_Dm1,0.06361984060005141,0.6185516158151425,0.10174241278854561,0.24924805145385795,0.12597660074436465,0.029153898285815372,0.5893977175293271
hydro_run_river_mw_Dm1,-0.3490218785641055,-0.6710747049796043,0.26369661018496365,-0.14569613296497338,-0.34788988852676933,-0.012478338893951555,0.934771315164568
hydro_run_river_mw_Dm6,-0.3325314845311445,-0.6844876501864458,0.31618183253444615,-0.08500985037543182,-0.31167888628981877,0.015011822746231324,1.000669482720892
biomass_mw_Dm1,0.29084121075772557,0.45508916678430156,0.40818207528897504,0.3985876776075918,0.20603574637661468,0.3725718909536465,0.24905342040768688
pumping_cons_mw_Dm6,-0.48475681605202,-0.32626188953768925,-0.3623782151978998,-0.49583517557469176,-0.4800312055210898,-0.5827752827560029,0.2565133932183136
ree_grenov_prev,-0.21327493803617428,-0.26661332238172014,-0.32036604088014786,-0.616717228727316,-0.591012594620525,-0.6335060936618134,0.4202311556256392
biomass_mw_Dm6,0.2493971676900293,0.4291919678854325,0.3837354240712838,0.36621173926648604,0.18252313093341926,0.32162465714315186,0.24666883695201325
pumping_cons_mw_Dm1,-0.3665764998614351,-0.23324616447123672,-0.3328378943029177,-0.42223258124564333,-0.4769962791085975,-0.572727123723482,0.3394809592522453
waste_mw_Dm1,0.4382922227705539,0.04093090308833698,0.5268119086065025,0.3456517831887154,0.22944675370860554,0.3521543938877342,0.48588100551816554
waste_mw_Dm6,0.3773381466064777,0.010829856824498755,0.5305673702477065,0.26993759108156257,0.19834895200841923,0.2839777105540935,0.5197375134232077
wind100_meteo,-0.2614681643928713,-0.2699136186869126,-0.09275501579621513,-0.39594063692086223,-0.4227107499808553,-0.2597747366976219,0.32995573418464014
ree_demanda_prev,0.6359630722164326,0.11294639100349115,0.26634023633727966,0.3071933913207592,0.31433825843275215,0.3563220242557928,0.5230166812129414
