variable,nulos_antes,cero_convencion,cero_no_existia,ffill,interpolado,analogo_7d,sin_reconstruir,cero_hora_inexistente
ree_gcoal_mw_Dm6,7,0.0,0.0,0.0,7.0,0.0,0,0.0
ree_gsolter_mw_Dm6,7,0.0,0.0,0.0,7.0,0.0,0,0.0
ree_gccgas_mw_Dm6,7,0.0,0.0,0.0,7.0,0.0,0,0.0
ree_gnuclear_mw_Dm6,7,0.0,0.0,0.0,7.0,0.0,0,0.0
entsoe_load_Dm6,7,0.0,0.0,0.0,7.0,0.0,0,0.0
ree_gotherthermal_mw_Dm1,7,0.0,0.0,0.0,7.0,0.0,0,0.0
ree_gcoal_mw_Dm1,7,0.0,0.0,0.0,7.0,0.0,0,0.0
ree_gotherthermal_mw_Dm6,7,0.0,0.0,0.0,7.0,0.0,0,0.0
gen_peninsular_mw_Dm6,7,0.0,0.0,0.0,7.0,0.0,0,0.0
ree_netflow_pt_Dm6,7,0.0,0.0,0.0,7.0,0.0,0,0.0
ree_netflow_fr_Dm6,7,0.0,0.0,0.0,7.0,0.0,0,0.0
ree_netflow_ma_Dm6,7,0.0,0.0,0.0,7.0,0.0,0,0.0
gen_peninsular_mw_Dm1,7,0.0,0.0,0.0,7.0,0.0,0,0.0
ree_netflow_pt_Dm1,7,0.0,0.0,0.0,7.0,0.0,0,0.0
entsoe_load_Dm1,7,0.0,0.0,0.0,7.0,0.0,0,0.0
es_esios_Dm6,7,0.0,0.0,0.0,7.0,0.0,0,0.0
es_esios_Dm1,7,0.0,0.0,0.0,7.0,0.0,0,0.0
ree_netflow_fr_Dm1,7,0.0,0.0,0.0,7.0,0.0,0,0.0
ree_netflow_ma_Dm1,7,0.0,0.0,0.0,7.0,0.0,0,0.0
total_net_flow_mw_Dm1,7,0.0,0.0,0.0,7.0,0.0,0,0.0
ree_gnuclear_mw_Dm1,7,0.0,0.0,0.0,7.0,0.0,0,0.0
ree_gccgas_mw_Dm1,7,0.0,0.0,0.0,7.0,0.0,0,0.0
ree_gsolter_mw_Dm1,7,0.0,0.0,0.0,7.0,0.0,0,0.0
total_net_flow_mw_Dm6,7,0.0,0.0,0.0,7.0,0.0,0,0.0
tcc_mean_met_Dm1,7,0.0,0.0,0.0,7.0,0.0,0,0.0
ssrd_mean_met_Dm1,7,0.0,0.0,0.0,7.0,0.0,0,0.0
pdbc_ccgt_mw_D,7,0.0,0.0,0.0,7.0,0.0,0,0.0
pdbc_hybrid_mw_D,7,0.0,0.0,0.0,7.0,0.0,0,0.0
pdbc_coal_mw_D,7,0.0,0.0,0.0,7.0,0.0,0,0.0
t2m_mean_met_Dm2,7,0.0,0.0,0.0,7.0,0.0,0,0.0
d2m_mean_met_Dm2,7,0.0,0.0,0.0,7.0,0.0,0,0.0
tp_acum_7d_met_Dm1,7,0.0,0.0,0.0,7.0,0.0,0,0.0
tp_acum_30d_met_Dm1,7,0.0,0.0,0.0,7.0,0.0,0,0.0
wind10_mean_met_Dm2,7,0.0,0.0,0.0,7.0,0.0,0,0.0
msl_mean_met_Dm2,7,0.0,0.0,0.0,7.0,0.0,0,0.0
wind100_mean_met_Dm2,7,0.0,0.0,0.0,7.0,0.0,0,0.0
wind_gust10_mean_met_Dm2,7,0.0,0.0,0.0,7.0,0.0,0,0.0
