unidades,dropout,lr,MAE_val
48,0.25,0.001,15.2
96,0.25,0.001,15.49
48,0.25,0.0003,15.56
48,0.4,0.0003,15.61
96,0.25,0.0003,15.71
48,0.4,0.001,15.78
96,0.4,0.001,15.95
96,0.4,0.0003,16.18
