fecha,captura_pct,pico_1h,mae_dia
2025-01-02,56.34791122715404,False,17.346052948669158
2025-01-03,100.0,True,17.02648469146351
2025-01-04,68.7230989956958,True,22.436017186718733
2025-01-05,26.379286973024264,False,9.45803019102997
2025-01-06,98.17083843864869,True,10.103878554025126
2025-01-07,48.673292605087994,True,18.645236418267427
2025-01-08,92.04975003048408,True,34.39602509518818
2025-01-09,85.29549352876967,True,15.46100022248452
2025-01-10,100.0,True,17.728044278333766
2025-01-11,100.0,True,30.26634562012055
2025-01-12,96.84887459807075,True,22.267519840345596
2025-01-13,66.85,False,29.000506777293435
2025-01-14,98.42125529457067,True,8.100222175257015
2025-01-15,97.961981356242,True,12.07645647196872
2025-01-16,67.38178633975481,False,9.603541864445935
2025-01-17,63.12299465240642,False,6.058378643554387
2025-01-18,93.46053772766697,True,7.903886462775456
2025-01-19,85.12122797837084,True,7.6499403715164656
2025-01-20,78.61126101816873,False,6.20511555951623
2025-01-21,86.77432542927228,True,8.956604169222492
2025-01-22,81.4410480349345,True,23.328080396800818
2025-01-23,90.14843188891548,True,7.82655546992545
2025-01-24,73.53505220541231,False,17.149440631792334
2025-01-25,92.08795946965613,True,23.064003415329562
2025-01-26,92.09612817089452,True,10.411144191015316
2025-01-27,84.38922610015173,False,15.854878923632944
2025-01-28,99.9854756717502,True,20.339410415316507
2025-01-29,92.43458911992636,True,16.71310524515147
2025-01-30,93.47368421052632,True,15.881431898083699
2025-01-31,80.89771789936762,False,13.207767852647555
2025-02-01,99.9113475177305,True,14.474163916174561
2025-02-02,81.472801282842,True,23.91586182230374
2025-02-03,66.66932652409831,True,12.073812518167182
2025-02-04,98.48864694506123,True,10.751553295397423
2025-02-05,81.30081300813008,False,19.762844716535668
2025-02-06,73.10226492793412,True,13.734006326183069
2025-02-07,75.21266849888758,False,10.123776347698842
2025-02-08,89.47973083866731,True,10.356093768428662
2025-02-09,99.99999999999999,True,7.529612884488199
2025-02-10,97.73714285714286,True,8.735071040096123
2025-02-11,95.49101593400385,True,9.731626701468672
2025-02-12,98.68619752340682,True,10.200881827478751
2025-02-13,94.18333333333335,True,14.145208955662776
2025-02-14,87.65171144142917,True,11.091297715853168
2025-02-15,92.8901461574729,True,14.075679966654766
2025-02-16,95.5803690826424,True,13.072944346447068
2025-02-17,86.68382668382668,True,12.855153325470377
2025-02-18,100.0,True,33.71817875133133
2025-02-19,82.59563565686015,True,11.413069013130425
2025-02-20,93.88005835828916,True,25.655849054675894
2025-02-21,100.0,True,27.208015100488456
2025-02-22,99.71441124780317,True,15.682743122651983
2025-02-23,100.0,True,9.180429085372854
2025-02-24,65.4864459021576,False,23.902816175069287
2025-02-25,96.87162891046387,True,24.46462508522548
2025-02-26,97.99894372395987,True,16.66706380386163
2025-02-27,100.0,True,9.555373777822643
2025-02-28,68.31407489906724,True,7.1621927678692385
2025-03-01,53.0626103490425,False,14.832273230981807
2025-03-02,74.94094690356373,True,8.679929412186198
2025-03-03,97.97782921184067,True,6.55669152330902
2025-03-04,81.77371331348364,True,12.257927044428252
2025-03-05,100.0,True,6.1073450941114205
2025-03-06,79.38187386885703,True,16.040873104818814
2025-03-07,76.53575025176235,False,18.077027698171772
2025-03-08,93.70387453874538,False,8.762513083761513
2025-03-09,92.19858156028369,True,7.500752330266594
2025-03-10,65.71763327475101,True,7.7860439872098715
2025-03-11,93.32579185520362,True,7.581854842617422
2025-03-12,99.15419648666233,True,10.486733360592096
2025-03-13,86.61347517730498,True,15.726610676253602
2025-03-14,100.0,True,29.21586512333256
2025-03-15,91.33574007220216,True,10.719102905047002
2025-03-16,100.0,True,5.358248475288829
2025-03-17,91.56646626586507,True,13.914850770895056
2025-03-18,100.0,True,18.212514495320942
2025-03-19,31.163741693644575,False,23.34978670457023
2025-03-20,89.17663338934467,True,9.303729756805444
2025-03-21,100.0,True,12.271972320900625
2025-03-22,99.98684556695606,True,9.75330439538496
2025-03-23,100.0,True,16.787307013045503
2025-03-24,86.73578033062483,True,43.12676251982483
2025-03-25,98.68208379957727,True,25.46665177063636
2025-03-26,99.96067945894936,True,15.955632867380189
2025-03-27,90.37397506832879,True,14.019083292781511
2025-03-28,100.0,True,21.808006031904686
2025-03-29,99.10554561717353,True,13.315592638982968
2025-03-31,74.54728877679698,True,26.236696970124584
2025-04-01,75.85298544907177,False,19.81326296039286
2025-04-02,100.0,True,28.94424434744131
2025-04-03,50.0125,False,19.724729720197505
2025-04-04,99.98001598721022,True,14.49114494604696
2025-04-05,98.89474227869022,True,9.182738615093976
2025-04-06,100.0,True,13.125261265219166
2025-04-07,100.0,True,18.876261746596008
2025-04-08,99.23594825629775,True,18.513240929355504
2025-04-09,88.1167055009624,True,25.216743978477666
2025-04-10,63.958292347039155,False,12.212050671128475
2025-04-11,99.98276753403412,True,10.387494133209339
2025-04-12,100.0,True,14.308304562509628
2025-04-13,97.58298420883015,True,14.974325199228877
2025-04-14,90.99279423538832,True,12.6981062295212
2025-04-15,98.42902027992002,True,12.874819627658368
2025-04-16,99.9855533082924,True,7.126025932422124
2025-04-17,100.0,True,7.758234177277548
2025-04-18,97.3361747469366,False,6.294782580925369
2025-04-19,79.49999999999999,True,6.4470718529313364
2025-04-20,96.04765723450568,True,8.896234599198026
2025-04-21,98.23383733055265,True,15.310459340155324
2025-04-22,100.0,True,16.446373724046605
2025-04-23,100.0,True,15.82592664050268
2025-04-24,99.99999999999999,True,8.224941002935058
2025-04-25,99.92077464788733,True,7.842444129530988
2025-04-26,96.04909858074414,True,15.4103701820616
2025-04-27,97.19801330709399,True,7.181332002902849
2025-04-28,97.62529832935562,True,17.358161091526032
2025-04-29,97.56163641289625,True,34.74283143001508
2025-04-30,92.43044888206178,False,15.598081560377295
2025-05-01,96.63076923076923,True,9.800269307046038
2025-05-02,97.1850809289233,True,6.482679193647999
2025-05-03,99.94015559545183,True,6.5081917031986825
2025-05-04,97.20466699076324,False,8.587463993102078
2025-05-05,82.3076923076923,False,6.960546146380733
2025-05-06,98.25472378479735,True,13.694010270736655
2025-05-07,100.0,True,20.7431486083438
2025-05-08,99.98743876397438,True,21.88564152694663
2025-05-09,100.0,True,18.52307594200747
2025-05-10,91.04095563139931,True,8.311340391334538
2025-05-11,100.0,True,5.40684925447309
2025-05-12,99.83365019011407,True,20.480096400274032
2025-05-13,99.67069995405117,True,15.547193421439133
