fecha,hydro_mw,pump_mw,nuclear_mw,ccgt_mw,fuel_mw,coal_mw
2023-03-07,13107.95416666667,2707.14166666667,7117.2,20735.40833333333,7.9,1828.9
2023-03-08,13085.1625,2753.88333333333,7117.2,20265.32083333334,7.9,1828.9
2023-03-09,13201.78333333333,2803.96666666667,7117.2,20780.93333333334,7.9,1828.9
2023-03-10,13287.7,2626.425,7117.2,21259.1,7.9,1828.9
2023-03-11,13287.7,2600.0,7117.2,21259.1,7.9,1828.9
2023-03-12,13072.07916666667,2590.69166666667,7117.2,20863.9,7.9,1828.9
2023-03-13,13001.55416666667,2539.875,7117.2,20929.4,7.9,1828.9
2023-03-14,13026.975,2610.475,6969.39583333333,21568.38333333334,7.9,1828.9
2023-03-15,12908.05,2575.475,7117.2,21650.3,7.9,1828.9
2023-03-16,13200.96666666667,2663.49166666667,7117.2,21650.3,7.9,1828.9
2023-03-17,13476.65,2803.96666666667,7117.2,20977.2125,7.9,1828.9
2023-03-18,13402.92916666667,2811.4,7117.2,21630.0,7.9,1828.9
2023-03-19,13363.22916666667,2811.4,7117.2,21363.79583333333,7.9,1828.9
2023-03-20,13108.4875,2775.9625,7117.2,21217.09583333333,7.9,1828.9
2023-03-21,13101.37916666667,2752.3375,7117.2,21233.6,7.9,1828.9
2023-03-22,13236.77916666667,2811.4,7117.2,21316.18333333334,7.9,1828.9
2023-03-23,13259.96666666667,2811.4,7117.2,21630.0,7.9,1828.9
2023-03-24,13357.675,2799.26666666667,7117.2,21613.34583333333,7.9,1828.9
2023-03-25,13320.43043478261,2738.6,7117.2,21338.08260869565,7.9,1828.9
2023-03-26,13314.97916666667,2705.38333333333,7089.99166666667,21630.0,7.9,1828.9
2023-03-27,13602.275,2720.7,7117.2,21412.19583333334,7.9,1828.9
2023-03-28,13702.61666666667,2720.7,7117.2,21227.9,7.9,1828.9
2023-03-29,13639.4125,2717.6625,7117.2,20305.59166666667,7.9,1828.9
2023-03-30,13706.25,2777.00416666667,7117.2,20748.68333333334,7.9,1828.9
2023-03-31,13716.44583333333,2864.9,7117.2,20909.56136363636,7.9,1828.9
2023-04-01,13527.0,2864.9,7117.2,20839.7,7.9,1828.9
2023-04-02,13492.55,2853.625,7117.2,20875.2,7.9,1828.9
2023-04-03,13563.87916666667,2838.88333333333,7117.2,20946.53333333333,7.9,1828.9
2023-04-04,13746.39583333334,2902.35833333333,7117.2,20893.03333333333,7.9,1828.9
2023-04-05,13763.8,2928.76666666667,7117.2,20998.8875,7.9,1828.9
2023-04-06,13763.8,2729.79166666667,7117.2,21297.5,7.9,1828.9
2023-04-07,13739.59166666667,2588.3,7117.2,20420.7,7.9,1828.9
2023-04-08,13722.3,2575.72083333333,7117.2,20458.45,7.9,1828.9
2023-04-09,13623.34583333333,2475.6375,7117.2,20165.175,7.9,1828.9
2023-04-10,13471.58333333334,2590.125,7117.2,19798.63333333334,7.9,1478.0
2023-04-11,13333.4375,2657.50416666667,7117.2,19694.1,7.9,1478.0
2023-04-12,13232.0625,2665.07916666667,7117.2,20358.16666666667,7.9,1478.0
2023-04-13,13380.6625,2692.70434782609,7117.2,20388.11666666667,7.9,1478.0
2023-04-14,13532.575,2768.2,7117.2,19689.8,7.9,1478.0
2023-04-15,13439.7,2768.2,7117.2,19689.8,7.9,1478.0
2023-04-16,13371.0125,2734.1375,6105.9,18762.6,7.9,1829.0
2023-04-17,13298.55833333333,2680.4375,6105.9,18332.96666666667,7.9,1829.0
2023-04-18,13395.10416666667,2710.6625,6105.9,18697.16666666667,7.9,1829.0
2023-04-19,13396.65833333333,2632.17083333333,6105.9,18485.09166666667,7.9,1897.75
2023-04-20,13405.725,2737.25416666667,6105.9,19759.7,7.9,1829.0
2023-04-21,13489.975,2816.06666666667,6105.9,20412.31666666667,7.9,1829.0
2023-04-22,13461.98333333333,2823.5,6105.9,21251.2,7.9,1829.0
2023-04-23,13262.24583333333,2721.125,6105.9,21166.99583333334,7.9,1829.0
2023-04-24,13256.15,2455.00833333333,6105.9,21054.8125,7.9,1829.0
2023-04-25,13236.64166666667,2525.175,5785.1,20980.6125,7.9,1942.9
2023-04-26,13187.325,2668.9,5981.35,20821.6,7.9,1607.7791666666699
2023-04-27,13227.87916666667,2690.02916666667,5784.68333333333,20607.23333333333,7.9,1532.2
2023-04-28,13206.3,2713.7,5110.1,20752.5,7.9,1518.86666666667
2023-04-29,13172.3,2713.7,5110.1,20785.0,7.9,1452.2
2023-04-30,13172.3,2713.7,5110.1,20392.4,7.9,1343.7916666666702
2023-05-01,12836.89583333334,2718.3,5110.1,20769.9375,7.9,1259.0
2023-05-02,12528.1,2754.875,5110.1,20998.98333333333,7.9,1259.0
2023-05-03,12384.85,2625.61666666667,5110.1,21063.10833333333,7.9,1259.0
2023-05-04,12634.96666666667,2706.14166666667,5110.1,20095.81666666667,7.9,1259.0
2023-05-05,12760.4,2713.7,5110.1,20833.6,7.9,1259.0
2023-05-06,12760.4,2713.7,5110.1,20800.71666666667,7.9,1259.0
2023-05-07,12671.225,2671.20416666667,5110.1,19623.4,7.9,1259.0
2023-05-08,12559.3,2407.50416666667,5110.1,19611.9,7.9,1259.0
2023-05-09,12501.26666666667,2370.90416666667,5110.1,19449.7375,7.9,1259.0
2023-05-10,12633.54166666667,2374.51666666667,5110.1,19244.5,7.9,1259.0
2023-05-11,12771.48333333333,2408.825,5110.1,18277.62916666667,7.9,1259.0
2023-05-12,12933.6,2523.2,5001.625,19085.6875,7.9,1259.0
2023-05-13,12933.6,2523.2,5110.1,19352.28333333333,7.9,1259.0
2023-05-14,12730.68333333333,2454.575,5110.1,19650.22083333333,7.9,1259.0
2023-05-15,12575.175,2346.40833333333,5110.1,19625.5,7.9,1259.0
2023-05-16,12555.175,2387.63333333333,5110.1,19575.20416666667,7.9,1259.0
2023-05-17,12548.275,2425.725,5110.1,19876.26666666667,7.9,1259.0
2023-05-18,12529.87083333333,2500.725,5110.1,20012.2,7.9,1259.0
2023-05-19,12541.2,2551.1,5236.5125,20012.2,7.9,1259.0
2023-05-20,12541.2,2523.8,6121.4,20427.7,7.9,1259.0
2023-05-21,12069.98333333333,2391.125,6121.4,20042.1,7.9,1259.0
2023-05-22,11823.28333333333,2298.075,6121.4,20180.33333333333,7.9,1259.0
2023-05-23,11881.3625,2334.36184210526,6121.4,20106.00833333334,7.9,1259.0
2023-05-24,11895.2625,2363.2625,5118.0,19976.3,7.9,1259.0
2023-05-25,12016.74583333333,2407.85,5118.0,20009.3,7.9,1259.0
2023-05-26,12350.5125,2493.8,5118.0,19529.70833333333,7.9,1259.0
2023-05-27,12314.2,2493.8,5118.0,20200.6625,7.9,1259.0
2023-05-28,11956.47083333333,2482.4625,5118.0,20694.55416666667,7.9,1259.0
2023-05-29,11929.97083333333,2557.70833333333,5118.0,21398.75,7.9,1259.0
2023-05-30,12162.56666666667,2284.9375,5118.0,21247.38333333334,7.9,1259.0
2023-05-31,12007.95833333334,2407.8625,5118.0,21407.8875,7.9,1829.0
2023-06-01,12356.02916666667,2595.8625,5118.0,21332.9,7.9,1829.0
2023-06-02,12541.80833333333,2651.8,5118.0,20466.85,7.9,1829.0
2023-06-03,12435.23333333333,2651.8,5118.0,20657.71666666667,7.9,1829.0
2023-06-04,12014.18333333333,2592.33333333333,5118.0,20938.3,7.9,1829.0
2023-06-05,11750.35416666667,2603.775,5118.0,20873.85,7.9,1829.0
2023-06-06,11544.07083333333,2640.4625,5118.0,20831.225,7.9,1829.0
2023-06-07,11641.91666666667,2730.77083333333,5118.0,20938.3,7.9,1829.0
2023-06-08,11874.67083333333,2938.14583333333,5118.0,20716.6875,7.9,1829.0
2023-06-09,12314.4,3016.08333333333,5108.50416666667,20904.79166666667,7.9,1482.8
2023-06-10,12249.8,3031.05,5118.0,20731.48333333333,7.9,1482.8
2023-06-11,12073.475,3034.8,5118.0,20683.37916666667,7.9,1829.0
2023-06-12,12077.54583333333,3034.8,5118.0,20502.7,7.9,1829.0
2023-06-13,12112.05416666667,3026.1875,5118.0,20486.925,7.9,1829.0
2023-06-14,12193.825,2946.71666666667,5947.83333333333,19886.80416666667,7.9,1829.0
2023-06-15,12230.65833333333,3068.16666666667,6113.8,19678.4,7.9,1829.0
2023-06-16,12311.74166666667,3107.6,6113.8,18834.27916666667,7.9,1829.0
2023-06-17,12219.5,2997.8,6113.8,19316.6,7.9,1829.0
2023-06-18,11946.35833333333,3038.975,6113.8,19293.575,7.9,1806.61904761905
2023-06-19,11843.62083333333,2952.14166666667,6113.8,18279.47916666667,7.9,1758.1666666666702
2023-06-20,11781.10416666667,2969.8,5943.44583333333,18576.75416666667,7.9,1829.0
2023-06-21,11819.4625,3057.71666666667,5158.0,19013.37916666667,7.9,1829.0
2023-06-22,11975.89166666667,3136.84166666667,6338.06666666667,19782.875,7.9,1829.0
2023-06-23,12118.6,2930.42083333333,7031.625,20148.8,7.9,1829.0
2023-06-24,12118.6,2751.1,7117.2,20061.675,7.9,1829.0
2023-06-25,11884.97083333333,2884.525,7106.225,20469.725,7.9,1829.0
2023-06-26,11741.06666666667,2988.65,7084.275,20228.34583333333,7.9,1829.0
2023-06-27,11650.92916666667,2996.74166666667,7117.2,19388.97083333333,7.9,1829.0
2023-06-28,11619.7625,2896.475,7117.2,20174.48333333333,7.9,1829.0
2023-06-29,11772.74166666667,2992.3,7117.2,20015.60833333333,7.9,1829.0
2023-06-30,11886.4,2999.8,7117.2,19685.4,7.9,1829.0
2023-07-01,11886.4,2999.8,7089.625,20789.53333333333,7.9,1829.0
2023-07-02,11462.03333333333,2999.8,7117.2,20933.53333333333,7.9,1829.0
2023-07-03,11287.3125,2780.49166666667,7117.2,21167.51666666667,7.9,1829.0
2023-07-04,11495.0,2846.55,7117.2,20320.325,7.9,1829.0
2023-07-05,11526.72083333333,2893.275,7117.2,20126.2625,7.9,1829.0
2023-07-06,11548.39166666667,2999.8,7117.2,20658.18333333334,7.9,1829.0
2023-07-07,11532.7,2965.425,7117.2,21402.7,7.9,1829.0
2023-07-08,11532.7,2910.3,7117.2,21402.7,7.9,1829.0
2023-07-09,11515.4125,2898.15,7117.2,21706.7375,7.9,1829.0
2023-07-10,11668.5125,2928.77916666667,7117.2,21322.94583333334,7.9,1829.0
2023-07-11,11605.87916666667,3103.71666666667,7117.2,21691.975,7.9,1829.0
2023-07-12,11620.81666666667,2982.4125,7117.2,21966.2,7.9,1829.0
2023-07-13,11965.725,3190.2,7117.2,22082.7,7.9,1829.0
2023-07-14,12326.4,3190.2,7117.2,22099.94583333334,7.9,1829.0
2023-07-15,12326.4,3190.2,7117.2,22042.05416666667,7.9,1829.0
2023-07-16,11876.46666666667,2972.275,7117.2,21544.52083333333,7.9,1829.0
2023-07-17,11650.46666666667,2968.89107142857,7117.2,21643.4,7.9,1829.0
2023-07-18,11448.7125,3039.59285714286,7117.2,21804.35131578948,7.9,1829.0
2023-07-19,11177.49166666667,3109.0125,7117.2,22248.95416666667,7.9,1829.0
2023-07-20,11437.95833333334,3181.72916666667,7117.2,22975.2,7.9,1829.0
2023-07-21,11514.2,3259.1,7089.625,22718.24166666667,7.9,1829.0
2023-07-22,11514.2,3259.1,7117.2,22523.34583333334,7.9,1829.0
2023-07-23,11513.30833333333,2762.375,7117.2,21970.31666666667,7.9,1829.0
