variante,cobertura_global,ancho_medio,cobertura_normal,cobertura_evento,ancho_normal,ancho_evento
con_regimen_tope_gas,74.4,38.09,74.5,63.2,38.01,43.02
sin_regimen_tope_gas,70.3,36.93,70.6,54.2,36.86,41.39
