fecha,hydro_mw,pump_mw,nuclear_mw,ccgt_mw,fuel_mw,gas_turbine_mw,coal_mw
2020-03-05,13682.36666666667,3108.6,7117.2,18501.60833333333,7.9,,8030.24583333333
2020-03-06,13819.7,3145.3,7117.2,18819.7,7.9,,7811.2
2020-03-07,13819.7,3145.3,7117.2,18254.70416666667,7.9,,8418.01666666667
2020-03-08,13719.60833333333,3136.80297619048,7117.2,17644.8625,7.9,,8420.1
2020-03-09,13615.3625,3114.05,7117.2,17662.7,7.9,,7713.52954545455
2020-03-10,13702.725,3168.9,7117.2,17662.7,7.9,,7993.6375
2020-03-11,13751.70833333334,3168.9,7117.2,17546.88333333334,7.9,,8245.39166666667
2020-03-12,13771.75,3155.48333333333,7117.2,18615.45,7.9,,8215.8
2020-03-13,13783.58333333334,3198.8,7117.2,18671.225,7.9,,8454.98333333333
2020-03-14,13592.11666666667,3198.8,7117.2,18841.1,7.9,,8770.9
2020-03-15,13655.175,3253.475,7117.2,18535.21666666667,7.9,,8764.65
2020-03-16,13790.3,3417.5,7117.2,18697.93333333334,7.9,,8744.23333333333
2020-03-17,13834.26666666667,3417.5,7117.2,19533.3,7.9,,8570.9
2020-03-18,13917.05416666667,3417.5,7117.2,20459.4,7.9,,8501.25
2020-03-19,13836.31666666667,3417.5,7117.2,20459.4,7.9,,8570.9
2020-03-20,13811.8,3408.35,7117.2,19677.4,7.9,,8570.9
2020-03-21,13811.8,3417.5,7117.2,20854.0,7.9,,8570.9
2020-03-22,13837.075,3383.4375,7117.2,20854.0,7.9,,8570.9
2020-03-23,13879.2,3363.0,7117.2,20854.0,7.9,,8570.9
2020-03-24,13934.7,3381.16666666667,7117.2,21245.3,7.9,,8570.9
2020-03-25,13980.69166666667,3353.50833333333,7117.2,21245.3,7.9,,8570.9
2020-03-26,14003.84583333333,3417.5,7117.2,21038.65416666667,7.9,,8570.9
2020-03-27,14027.2,3409.95833333333,7117.2,21112.4,7.9,,8039.487499999999
2020-03-28,13977.53043478261,3417.5,6990.96521739131,21112.4,7.9,,8570.9
2020-03-29,13841.03333333333,3417.5,6996.225,20970.3125,7.9,,8570.9
2020-03-30,13855.1,3276.56666666667,7117.2,21112.4,7.9,,8570.9
2020-03-31,13825.175,3302.99166666667,7117.2,21112.4,7.9,,8570.9
2020-04-01,13831.59166666667,3417.5,7117.2,20833.56666666667,7.9,,8570.9
2020-04-02,13870.18333333333,3417.5,7117.2,21063.75,7.9,,8570.9
2020-04-03,13945.6,3417.5,7117.2,21112.4,7.9,,8570.9
2020-04-04,13945.6,3417.5,7117.2,20917.65416666667,7.9,,8570.9
2020-04-05,13941.72083333333,3417.5,7117.2,21112.4,7.9,,8570.9
2020-04-06,13925.01666666667,3417.5,7117.2,21112.4,7.9,,8570.9
2020-04-07,13965.57083333333,3417.5,7117.2,21095.29166666667,7.9,,8570.9
2020-04-08,14071.5,3417.5,7038.4,20718.90833333333,7.9,,8570.9
2020-04-09,14061.675,3417.5,7030.4,21112.4,7.9,,8570.9
2020-04-10,13976.7,3417.5,7017.4,21112.4,7.9,,8570.9
2020-04-11,13976.7,3417.5,7017.4,21112.4,7.9,,8570.9
2020-04-12,13823.64583333334,3417.5,6996.4,21112.4,7.9,,8570.9
2020-04-13,13711.225,3417.5,6782.7125,21112.4,7.9,,8254.49166666667
2020-04-14,13643.0,3355.84166666667,5973.1,21112.4,7.9,,7999.10833333333
2020-04-15,13674.75416666667,3353.7125,5963.1,21112.4,7.9,,8013.700000000001
2020-04-16,13682.47083333333,3417.5,5955.1,21060.9125,7.9,,8083.35
2020-04-17,13836.7,3417.5,5953.1,20700.5,7.9,,8570.9
2020-04-18,13836.7,3417.5,5945.1,20700.5,7.9,,8570.9
2020-04-19,13808.61666666667,3417.5,5939.1,20469.96666666667,7.9,,8570.9
2020-04-20,13780.65416666667,3353.1,5929.1,20389.64583333333,7.9,,8570.9
2020-04-21,13898.975,3353.7125,5926.1,19597.03333333333,7.9,,8570.9
2020-04-22,13880.475,3346.00833333333,5910.1,20717.2,7.9,,8570.9
2020-04-23,13911.50833333333,3353.65416666667,5897.1,20717.2,7.9,,8570.9
2020-04-24,14053.8,3417.5,5890.1,20717.2,7.9,,8570.9
2020-04-25,14053.8,3417.5,5890.1,20717.2,7.9,,8570.9
2020-04-26,13991.17083333333,3368.94166666667,5744.76666666667,20717.2,7.9,,8570.9
2020-04-27,13986.54583333333,3290.025,5110.1,20356.875,7.9,,8570.9
2020-04-28,13797.22083333333,3216.8625,5110.1,20251.90833333333,7.9,,8570.9
2020-04-29,13975.93333333333,3375.03333333333,5110.1,20717.2,7.9,,8570.9
2020-04-30,13973.5,3417.5,5110.1,20717.2,7.9,,8524.46666666667
2020-05-01,13973.5,3417.5,5110.1,20717.2,7.9,,8448.8
2020-05-02,13877.25,3406.1625,5110.1,20669.8375,7.9,,8541.66666666667
2020-05-03,13873.00416666667,3417.5,5110.1,20717.2,7.9,,8570.9
2020-05-04,14008.8,3368.9,5110.1,20717.2,7.9,,8570.9
2020-05-05,14028.975,3344.6,5110.1,20717.2,7.9,,8570.9
2020-05-06,14015.88333333333,3374.975,5110.1,20644.73333333333,7.9,,8570.9
2020-05-07,13977.73333333333,3202.5,5110.1,20699.08333333333,7.9,,8570.9
2020-05-08,13866.3,3202.5,5110.1,20717.2,7.9,,8570.9
2020-05-09,13866.3,3202.5,5110.1,20717.2,7.9,,8416.6
2020-05-10,13750.425,3156.625,5110.1,20717.2,7.9,,8570.9
2020-05-11,13686.95,3129.1,5110.1,20682.35,7.9,,8570.9
2020-05-12,13704.3125,3085.0375,5110.1,20717.2,7.9,,8570.9
2020-05-13,13673.57916666667,3030.11666666667,5110.1,20717.2,7.9,,8570.9
2020-05-14,13654.1125,3129.1,5110.1,20580.2,7.9,,8570.9
2020-05-15,13783.0,3129.1,5110.1,19927.3,7.9,,8453.85833333333
2020-05-16,13783.0,3129.1,5110.1,20476.625,7.9,,8196.36666666667
2020-05-17,13687.86666666667,3060.475,5110.1,19913.80833333334,7.9,,8570.9
2020-05-18,13593.36666666667,3019.3,4106.7,19948.2,7.9,,8570.9
2020-05-19,13603.3,2991.85,4106.7,19948.2,7.9,,8570.9
2020-05-20,13558.57083333333,2991.85,4106.7,19948.2,7.9,,8570.9
2020-05-21,13611.0,2978.125,4106.7,19188.47916666667,7.9,,8570.9
2020-05-22,13611.0,3019.3,4106.7,19141.86666666667,7.9,,8570.9
2020-05-23,13611.0,3019.3,4106.7,19679.95,7.9,,8570.9
2020-05-24,13456.59166666667,2955.075,4106.7,20082.1,7.9,,8570.9
2020-05-25,13443.14166666667,2879.09166666667,4106.7,20014.65,7.9,,8570.9
2020-05-26,13503.20416666667,2906.21666666667,4106.7,19819.00833333334,7.9,,8570.9
2020-05-27,13491.5375,2946.20833333333,4106.7,20082.1,7.9,,8570.9
2020-05-28,13589.5875,2979.45,4106.7,20047.775,7.9,,8570.9
2020-05-29,13619.7,2998.2,4106.7,17904.04583333333,7.9,,8570.9
2020-05-30,13619.7,2998.2,4070.54166666667,18898.87916666667,7.9,,8223.5
2020-05-31,13235.4375,2998.2,4106.7,17911.23333333333,7.9,,8223.5
2020-06-01,12900.06666666667,2998.2,4273.36666666667,18129.225,7.9,,8007.308333333331
2020-06-02,12885.53333333333,2857.26666666667,4856.7,17669.60416666667,7.9,,8069.200000000001
2020-06-03,12993.82083333333,2784.6125,4907.90833333333,17506.73333333333,7.9,,8069.200000000001
2020-06-04,13093.0875,2998.2,5102.5,18463.175,7.9,,8069.200000000001
2020-06-05,13087.4,2998.2,5102.5,19233.28333333333,7.9,,7505.975
2020-06-06,13087.4,2998.2,5102.5,19282.875,7.9,,7697.73333333333
2020-06-07,12856.08333333334,2938.53333333333,5102.5,19325.4625,7.9,,8069.200000000001
2020-06-08,12723.84166666667,2908.7,5102.5,18211.0375,7.9,,7839.675
2020-06-09,12726.88333333333,2874.80416666667,5102.5,18045.38333333334,7.9,,8069.200000000001
2020-06-10,12666.16666666667,2893.5,4945.87083333333,18832.8,7.9,,8022.76666666667
2020-06-11,12711.93333333333,3003.2,4860.53333333333,19192.72916666667,7.9,,7976.33333333333
2020-06-12,12770.5,3003.2,4844.575,19686.75,7.9,,7484.566666666669
