fecha,hydro_mw,pump_mw,nuclear_mw,ccgt_mw,fuel_mw,gas_turbine_mw,coal_mw
2026-06-01,12388.90833333333,2890.9,5110.1,19302.84166666667,7.9,561.8,346.2
2026-06-02,12185.14166666667,2781.03333333333,5110.1,19232.49166666667,7.9,561.8,346.2
2026-06-03,12269.53333333333,2592.23333333333,5110.1,19829.95833333333,7.9,561.8,346.2
2026-06-04,12169.56666666667,2634.91666666667,5110.1,19355.84166666667,7.9,561.8,346.2
2026-06-05,12234.475,2784.44166666667,4543.89583333333,19963.82083333334,7.9,561.8,346.2
2026-06-06,12519.625,2860.9,4073.05,19082.35833333333,7.9,561.8,346.2
2026-06-07,12563.4,2816.60833333333,4691.45833333333,19922.00833333334,7.9,561.8,346.2
2026-06-08,12351.90416666667,2625.81666666667,5110.1,19562.63333333334,7.9,561.8,346.2
2026-06-09,12266.01666666667,2627.64166666667,5615.75,19922.00833333334,7.9,561.8,346.2
2026-06-10,12216.71666666667,2642.85,6121.4,19261.6,7.9,561.8,346.2
2026-06-11,12315.63333333333,2739.675,6121.4,18815.39166666667,7.9,561.8,346.2
2026-06-12,12312.4375,2818.51666666667,6230.15,18449.19583333334,7.9,561.8,346.2
2026-06-13,12508.06666666667,2791.35,6483.9,18907.67083333333,7.9,561.8,346.2
2026-06-14,12438.10833333333,2727.3,6821.4,20008.75,7.9,561.8,346.2
2026-06-15,11964.02083333334,2683.3625,7117.2,19457.35416666667,7.9,561.8,346.2
2026-06-16,11720.54166666667,2712.73333333333,7117.2,19671.05833333334,7.9,561.8,346.2
2026-06-17,11543.7625,2634.925,7117.2,19517.63333333334,7.9,561.8,346.2
2026-06-18,11855.5375,2551.475,7117.2,20019.15,7.9,561.8,346.2
2026-06-19,12153.29583333333,2723.3625,7117.2,20242.4375,7.9,561.8,346.2
2026-06-20,12310.45,2811.3,7117.2,19941.8,7.9,561.8,346.2
2026-06-21,12259.4,2719.1875,7117.2,19858.725,7.9,561.8,346.2
2026-06-22,12099.62083333333,2698.04583333333,7117.2,19951.7375,7.9,561.8,346.2
2026-06-23,12291.98333333333,2573.21666666667,7117.2,20305.825,7.9,561.8,346.2
2026-06-24,12210.78333333333,2664.45833333333,7117.2,20446.56666666667,7.9,561.8,346.2
2026-06-25,12214.04166666667,2703.99166666667,7117.2,20066.29583333333,7.9,561.8,346.2
2026-06-26,12241.45416666667,2744.9,7117.2,20356.7625,7.9,561.8,346.2
2026-06-27,12435.57083333333,2726.6,7117.2,19477.35416666667,7.9,561.8,346.2
2026-06-28,12501.6,2726.6,7117.2,19634.3625,7.9,561.8,346.2
2026-06-29,12430.55416666667,2727.425,7117.2,19852.20833333333,7.9,561.8,346.2
2026-06-30,12194.95833333334,2626.625,7117.2,20119.70833333333,7.9,561.8,346.2
