familia,n,parametros,MAE_val,sd_val,MAE_test,sd_test,captura_test,pico_1h,vs_naive_%,salto
ENSEMBLE,8.0,1934575,12.283,,12.218,,91.247,79.245,-26.9,-0.066
seq2seq,3.0,259553,14.067,0.11,12.885,0.176,89.673,72.01,-22.9,-1.182
gru,3.0,196001,13.96,0.199,13.254,0.13,89.977,76.89,-20.7,-0.706
conv1d_lstm,3.0,286177,14.04,0.219,13.377,0.269,89.493,77.043,-20.0,-0.663
boosting,3.0,11130,13.32,0.035,13.864,0.095,88.44,77.047,-17.1,0.544
simplernn,3.0,34561,14.567,0.292,13.886,0.352,89.173,75.63,-16.9,-0.681
denso,3.0,565016,12.744,0.157,14.038,1.372,89.39,77.043,-16.0,1.294
seq2seq_absoluto,3.0,259553,15.746,1.127,15.08,0.562,92.847,83.333,-9.8,-0.666
lstm,3.0,322584,13.277,0.234,16.095,1.087,88.593,73.9,-3.7,2.818
naive (persistencia),,0,19.946,,16.714,,86.569,67.925,0.0,-3.232
