unidades,dropout,lr,MAE_val
48,0.25,0.001,13.82
96,0.25,0.001,14.74
48,0.25,0.0003,14.91
48,0.4,0.001,15.03
96,0.25,0.0003,15.08
96,0.4,0.0003,15.13
96,0.4,0.001,15.38
48,0.4,0.0003,15.6
