hora,demanda_real_mw,gen_wind_mw,gen_hidro_real_mw,gen_nuclear_real_mw,gen_ciclocomb_real_mw,gen_coal_real_mw,gen_cogen_real_mw,gen_solar_mw
00:00,26517.75,9195.25,4156.75,6988.66666666667,3856.33333333333,0.0,-362.41666666667,107.0
01:00,25041.91666666667,8897.41666666667,3599.33333333333,6993.25,3511.91666666667,0.0,-660.41666666667,107.0
02:00,23759.0,8302.41666666667,3346.16666666667,7001.16666666667,3233.58333333333,0.0,-783.0,107.0
03:00,23000.75,7983.33333333333,2879.0,7011.75,3173.41666666667,0.0,-650.41666666667,103.33333333333
04:00,22482.83333333333,7209.0,2781.08333333333,7017.0,3321.66666666667,0.0,-405.91666666667,102.08333333333
05:00,22174.33333333333,7078.91666666667,2590.91666666667,7020.83333333333,3369.33333333333,0.0,-330.08333333333,102.0
06:00,22196.58333333333,6780.41666666667,2523.33333333333,7019.25,3343.0,0.0,150.5,107.08333333333
07:00,22269.33333333333,6110.0,2480.66666666667,7015.83333333333,4089.33333333333,0.0,-718.08333333333,1237.33333333333
08:00,24033.83333333333,4954.08333333333,148.91666666667,7015.25,4181.66666666667,0.0,-2909.08333333333,8792.25
09:00,26377.33333333333,3359.0,-1752.83333333333,7009.91666666667,3311.25,0.0,-4818.66666666667,17471.91666666667
10:00,27730.0,2880.83333333333,-2291.5,7004.5,2670.91666666667,0.0,-6893.16666666667,21778.83333333333
11:00,28017.66666666667,2511.0,-2438.25,6999.66666666667,2605.66666666667,0.0,-5719.08333333333,21133.16666666667
12:00,28386.08333333333,2211.33333333333,-2642.91666666667,6992.16666666667,2583.16666666667,0.0,-5025.16666666667,21225.75
13:00,29085.58333333333,2373.5,-2588.16666666667,6986.41666666667,2409.41666666667,0.0,-4813.0,21741.5
14:00,29580.83333333333,2412.58333333333,-2637.25,6987.16666666667,2400.91666666667,0.0,-4263.0,21705.0
15:00,29096.41666666667,2302.25,-2950.0,6984.25,2408.5,0.0,-3890.33333333333,21265.33333333333
16:00,28991.83333333333,2360.41666666667,-2870.16666666667,6984.33333333333,2429.75,0.0,-3452.75,20584.41666666667
17:00,29495.5,2984.33333333333,-2809.58333333333,6980.91666666667,2221.5,0.0,-4506.5,21710.58333333333
18:00,30495.41666666667,3507.91666666667,-2045.41666666667,6975.58333333333,2222.25,0.0,-3824.33333333333,20817.5
19:00,31299.66666666667,5066.58333333333,-1046.08333333333,6976.33333333333,2738.33333333333,0.0,-3724.16666666667,18369.25
20:00,30572.41666666667,5909.58333333333,2531.66666666667,6979.58333333333,5580.33333333333,0.0,-1578.66666666667,8146.83333333333
21:00,30147.0,6329.41666666667,5460.5,6983.08333333333,7503.66666666667,0.0,136.58333333333,912.0
22:00,30274.5,7018.16666666667,5489.75,6985.33333333333,7838.0,0.0,80.16666666667,128.0
23:00,28456.75,7012.91666666667,5373.33333333333,6991.75,6663.41666666667,0.0,-414.58333333333,117.5
